 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 
   184    4.073               0              -1               7;
   185    4.095               0              -1               9;
   186    4.117               0              -1               9;
   187    4.139               0              -1               7;
   188    4.161               0              -1               7;
   189    4.184               0              -1               8;
   190    4.206               0              -1               8;
   191    4.228               0              -1               7;
   192    4.250               0              -1               7;
   193    4.272               0              -1               7;
   194    4.294               0              -1               7;
   195    4.316               0              -1               7;
   196    4.339               0              -1               7;
   197    4.361               0              -1               7;
   198    4.383               0              -1               7;
   199    4.405               0              -1               7;
   200    4.427               0              -1               7;
   201    4.449               0              -1               7;
   202    4.471               0              -1               7;
   203    4.493               0              -1               7;
   204    4.516               0              -1               7;
   205    4.538               0              -1               7;
   206    4.560               0              -1               7;
   207    4.582               0              -1               7;
   208    4.604               0              -1               7;
   209    4.626               0              -1               7;
   210    4.648               0              -1               7;
   211    4.671               0              -1               8;
   212    4.693               0              -1               8;
   213    4.715               0              -1               8;
   214    4.737               0              -1               8;
   215    4.759               0              -1               8;
   216    4.781               0              -1               8;
   217    4.803               0              -1               8;
   218    4.826               0              -1               8;
   219    4.848               0              -1               8;
   220    4.870               0              -1               8;
   221    4.892               0              -1               8;
   222    4.914               0              -1               8;
   223    4.936               0              -1               8;
   224    4.958               0              -1               8;
   225    4.980               0              -1               8;
   226    5.003               0              -1               8;
   227    5.025               0              -1               8;
   228    5.047               0              -1               8;
   229    5.069               0              -1               8;
   230    5.091               0              -1               8;
   231    5.113               0              -1               8;
   232    5.135               0              -1               8;
   233    5.158               0              -1               8;
   234    5.180               0              -1               8;
   235    5.202               0              -1               8;
   236    5.224               0              -1               8;
   237    5.246               0              -1               8;
   238    5.268               0              -1               8;
   239    5.290               0              -1               8;
   240    5.313               0              -1               8;
   241    5.335               0              -1               8;
   242    5.357               0              -1               8;
   243    5.379               0              -1               8;
   244    5.401               0              -1               8;
   245    5.423               0              -1               8;
   246    5.445               0              -1               8;
   247    5.467               0              -1               8;
   248    5.490               0              -1               8;
   249    5.512               0              -1               8;
   250    5.534               0              -1               8;
   251    5.556               0              -1               8;
   252    5.578               0              -1               8;
   253    5.600               0              -1               8;
   254    5.622               0              -1               8;
   255    5.645               0              -1               8;
   256    5.667               0              -1               8;
   257    5.689               0              -1               8;
   258    5.711               0              -1               8;
   259    5.733               0              -1               8;
   260    5.755               0              -1               8;
   261    5.777               0              -1               8;
   262    5.799               0              -1               8;
   263    5.822               0              -1               8;
   264    5.844               0              -1               8;
   265    5.866               0              -1               8;
   266    5.888               0              -1               8;
   267    5.910               0              -1               8;
   268    5.932               0              -1               8;
   269    5.954               0              -1               8;
   270    5.977               0              -1               8;
   271    5.999               0              -1               8;
   272    6.021               0              -1               8;
   273    6.043               0              -1               8;
   274    6.065               0              -1               8;
   275    6.087               0              -1               8;
   276    6.109               0              -1               8;
   277    6.132               0              -1               8;
   278    6.154               0              -1               8;
   279    6.176               0              -1               8;
   280    6.198               0              -1               8;
   281    6.220               0              -1               8;
   282    6.242               0              -1               8;
   283    6.264               0              -1               7;
   284    6.286               0              -1               7;
   285    6.309               0              -1               7;
   286    6.331               0              -1               8;
   287    6.353               0              -1               8;
   288    6.375               0              -2               7;
   289    6.397               0              -1               7;
   290    6.419               0              -1               8;
   291    6.441               0              -1               8;
   292    6.464               0              -1               7;
   293    6.486               0              -1               7;
   294    6.508               0              -1               7;
   295    6.530               0              -1               7;
   296    6.552               0              -1               7;
   297    6.574               0              -1               7;
   298    6.596               0              -1               7;
   299    6.618               0              -1               7;
   300    6.641               0              -1               7;
   301    6.663               0              -1               7;
   302    6.685               0              -1               7;
   303    6.707               0              -1               7;
   304    6.729               0              -1               7;
   305    6.751               0              -1               7;
   306    6.773               0              -1               7;
   307    6.796               0              -1               7;
   308    6.818               0              -1               7;
   309    6.840               0              -1               7;
   310    6.862               0              -1               7;
   311    6.884               0              -1               7;
   312    6.906               0              -1               7;
   313    6.928               0              -1               7;
   314    6.951               0              -1               7;
   315    6.973               0              -1               7;
   316    6.995               0              -1               7;
   317    7.017               0              -1               7;
   318    7.039               0              -1               7;
   319    7.061               0              -1               7;
   320    7.083               0              -1               7;
   321    7.105               0              -1               7;
   322    7.128               0              -1               7;
   323    7.150               0              -1               7;
   324    7.172               0              -1               7;
   325    7.194               0              -1               7;
   326    7.216               0              -1               7;
   327    7.238               0              -1               7;
   328    7.260               0              -1               7;
   329    7.283               0              -1               7;
   330    7.305               0              -1               7;
   331    7.327               0              -1               7;
   332    7.349               0              -1               7;
   333    7.371               0              -1               7;
   334    7.393               0              -1               7;
   335    7.415               0              -1               7;
   336    7.438               0              -1               7;
   337    7.460               0              -1               7;
   338    7.482               0              -1               7;
   339    7.504               0              -1               7;
   340    7.526               0              -1               7;
   341    7.548               0              -1               7;
   342    7.570               0              -1               7;
   343    7.592               0              -1               7;
   344    7.615               0              -1               7;
   345    7.637               0              -1               7;
   346    7.659               0              -1               7;
   347    7.681               0              -1               7;
   348    7.703               0              -1               7;
   349    7.725               0              -1               7;
   350    7.747               0              -1               7;
   351    7.770               0              -1               7;
   352    7.792               0              -1               7;
   353    7.814               0              -1               7;
   354    7.836               0              -1               7;
   355    7.858               0              -1               7;
   356    7.880               0              -1               7;
   357    7.902               0              -1               7;
   358    7.924               0              -1               7;
   359    7.947               0              -1               7;
   360    7.969               0              -1               7]
